posting_id,job_title,company_name,city,category,raw_skills,salary_min,salary_max,posted_date,scraped_at
38,Senior Manager -Data Engineering {Information Technology Group},Bank of Punjab,Lahore,,,,,,2026-09-25 11:14:39.987508
39,MTO-Industrial Engineering,Royal Fans,Gujrat,,"Data Analysis, Lean Manufacturing, 5S, Kaizen, Line Balancing, Production Planning And Scheduling, Time And Motion Study, Quality Control and Assurance, Productivity Improvement, Manufacturing Process Optimization, Work Measurement, Supply Chain Management, MS Excel, Cost Reduction Techniques, SMV/SAM (Standard Minute Value / Standard Allowed Minutes)",,,,2026-09-25 11:14:39.987508
40,Data Engineer,Software Finder,Lahore,,"Analytics, Workflow, SQL, Python, planning-and-design, visual-art-design, product-development-and-design, cyber-intelligence, amazon-web-services, extract-transform-and-load-etl, data-pipeline, electronic-title, extract-load-transform-elt, data-model, business-intelligence, data-analytics, data-engineering, service-management-and-orchestration-smo, data-transformation, business-analytics",,,,2026-09-25 11:14:39.987508
41,Offica Assistant,Ideal Power Engineering Services,Karachi,,"Data Management, Document Preparation, Record Keeping, Customer Service, Organizational Skills, Time Management, Communication, Microsoft Word, Attention to Detail, Microsoft Excel, Data Entry",,,,2026-09-25 11:14:39.987508
42,Mechanical / Manufacturing Engineer — R&D & Production,Impex Engineering,Lahore,,"Quality Control, Troubleshooting, Lean Manufacturing, CAM PROGRAMMING, Manufacturing Planning, Mechanical Assembly, Bom Preparation, SolidWorks, AutoCad, Microsoft Excel, Production Coordination, 3D CAD Review, Inspection and Measurement, ERP/MES Implementation Support, 5-axis CNC Machining Support",,,,2026-09-25 11:14:39.987508
43,Administrator,Sterling Engineering & Construction,Lahore,,"Data Management, Records Management, Document Control, Document Formatting, Document Preparation, Organizational Skills, Time Management, Communication, Database Administration, Attention to Detail, Microsoft Excel, Team Leadership, Data Entry",,,,2026-09-25 11:14:39.987508
44,Procurement Assistant,S&B Food Products,Hyderabad,,"Vendor Coordination, Purchase Order Management, Supplier Relationship Management, Invoice Processing, Microsoft Dynamics 365, Follow-up Skills, Quotation comparison, Inventory Management, MS Excel, Negotiation, ERP Software, Organizational Skills, Time Management, Compliance And Regulatory Knowledge, Communication, Data Entry and Documentation, Data Entry, Stock management systems, Purchase Requisition Preparation, Analytical skills, Supplier Documentation Handling",,,,2026-09-25 11:14:39.987508
45,AI/ML & Data Engineer - Solutions & Business Development,Devsinc,Lahore,,"Analytics, business-development, data-warehouse, machine-learning, SQL, Python, training-and-development, planning-and-design, visual-art-design, product-development-and-design, artificial-intelligence, extract-transform-and-load-etl, data-pipeline, data-analytics, generative-artificial-intelligence-generative-ai, retrieval-augmented-generation-rag, data-engineering, natural-language-processing, predictive-analytics, data-lake",,,,2026-09-25 11:14:39.987508
46,Assistiant Accountant,A. Karim & Sons Engineering,Karachi,,"Tally ERP 9, Accounting Principles, Accounts Payable and Receivable, Tally, Financial Reporting, Bank Reconciliation, Time Management, Attention to Detail, Data Entry",,,,2026-09-25 11:14:39.987508
47,IE Executive,Lucky Knits Private Limited,Karachi,,"MS Visio, Line Balancing, Productivity Improvement, Value Stream Mapping, Capacity Planning, Industrial Engineering, SOP Development, Textile Manufacturing, Garment Manufacturing, Time and Motion Studies, line layout, 6s, SAM Studies, MS Excel, Production Data Analysis, stitching operations, Operational Breakdown, Efficiency Calculations, Real-Time Transaction Monitoring, Cutting Operations",,,,2026-09-25 11:14:39.987508
20,Machine Learning Operations Coordinator,InforMityx AI,Lahore,,"machine-learning, effective-communication, Project-Management, maintenance-repair-and-operations-mro, time-and-attendance, environment-health-and-safety-hsse, ecology-environment, insurance-consulting-and-technology, computer-science, continuous-improvement-process-cip",,,,2026-09-25 11:14:39.987508
21,Senior AI Engineer,Motive,Lahore,,"Embedded Systems, Computer Vision, S3, EC2, Deep Learning, DOCKER, TensorFlow, Algorithm Development, Kubernetes, Lambda, Terraform, PyTorch, CI/CD pipelines, Machine Learning, Python, RDS), CPLUSPLUS, Cloud services (AWS SageMaker",,,,2026-09-25 11:14:39.987508
22,"Head of Intelligent Operations, Transformation & AI",Mobilink Bank,Islamabad,,"Banking Operations, Programme Management, Stakeholder Management, Process Re-engineering, Predictive Analytics, executive communication, Business Case Development, Benefits Realisation, Machine Learning, Cross-Functional Leadership, Artificial Intelligence, Generative AI, Operational Excellence, Agentic AI, AI And Digital Transformation Leadership, Machine Learning And Generative AI, RPA And Intelligent Process Automation, Transformation Portfolio Management, Responsible AI And Model Governance, Risk And Regulatory Compliance",,,,2026-09-25 11:14:39.987508
23,Sr. AWS AI Engineer,Cloudelligent,Lahore,,"PostgreSQL, AWS, Keras, Deep Learning, TensorFlow, Data Engineering, PyTorch, amazon sagemaker, Amazon Athena, Machine Learning, Python, OpenAI, Prompt Engineering, Artificial Intelligence, LangGraph, LangChain, CrewAI, AWS Bedrock, Retrieval-augmented generation, Amazon Rekognition",,,,2026-09-25 11:14:39.987508
24,ML Ai Engineer,Green Earth Solutions,Lahore,,"OpenCV, Computer Vision, Deep Learning, TensorFlow, Data Preprocessing, Object Detection, PyTorch, Machine Learning, Edge COmputing, Python, Cloud Computing, Data Visualization, Model Evaluation, Real-time video analytics, Barcode Scanning Systems, Embedded Systems Deployment, Industrial Cameras",,,,2026-09-25 11:14:39.987508
25,Internees in aritificial Intelligence in Wah-Cantt,Nexus International Services,Multiple Cities,,"Machine Learning Fundamentals, Neural Networks basics",,,,2026-09-25 11:14:39.987508
26,Senior AI Engineer,DevBazar,Lahore,,"OpenCV, NumPy, Scikit-learn, Pandas, TensorFlow, PyTorch, machine-learning, deep-learning, Python, time-and-attendance, training-and-development, particulate-matter, artificial-intelligence, large-language-model-llm, generative-artificial-intelligence-generative-ai, prompt-engineering, retrieval-augmented-generation-rag, natural-language-processing, vector-database, google-tensorflow",,,,2026-09-25 11:14:39.987508
27,Faculty Member,Aptech I.I.Chundrigar Center,Karachi,,"Bootstrap, MCS, DART, Flutter, machine-learning, MERN, JavaScript, time-and-attendance, training-and-development, computer-science, artificial-intelligence, cascading-style-sheets-css, developer-tools",,,,2026-09-25 11:14:39.987508
28,Artificial Intelligence Engineer,MRealtors,Rawalpindi,,"PyTorch, machine-learning, deep-learning, computer-vision, Python, training-certification, education-training, training-and-development, artificial-intelligence, search-and-retrieval, cyber-intelligence, data-pipeline, large-language-model-llm, network-latency, prompt-engineering, retrieval-augmented-generation-rag, vehicle-modification-tuning, operating-cost, natural-language-processing, image-recognition",,,,2026-09-25 11:14:39.987508
2,Data Science Intern,ELITE.Org,All Cities,,"Data Analysis, Data Science, Internship, Deployment, Professional Development, Power BI, Data Modeling, Independent Work, remote work, Portfolio, Dashboarding, Modeling",,,,2026-09-24 14:50:08.021265
3,Software Engineer (Data Science),Shaukat Khanum Memorial Cancer Hospital & Research Centre,Lahore,,,,,,2026-09-24 14:50:08.021265
4,Senior Software Engineer (Data Science),Shaukat Khanum Memorial Cancer Hospital & Research Centre,Lahore,,,,,,2026-09-24 14:50:08.021265
5,Professional Computer,Nayyar Academy of Computer Science,Multan,,"MS Access, In Page, MS Word, MS Excel, Power Point",,,,2026-09-24 14:50:08.021265
6,Customer Communications Lead,Jeeny,Lahore,,"Data Analysis, Data Science, Campaign Management, Customer Engagement, Stakeholder Management, Segmentation, Communication Strategy, Salesforce Marketing Cloud, SQL, Braze, CRM Operations, A/B Testing, Iterable, CleverTap, Project Management, CRM, Marketing Automation, Lifecycle marketing, Frequency Capping, Performance Data",,,,2026-09-24 14:50:08.021265
7,Senior Data Scientist - TPL Insurance,JazzWorld,Karachi,,"Risk Assessment, Data Science, Data Quality, Predictive Analytics, Model Validation, Statistical Modelling, Data Preparation, Actuarial Science, Insurance pricing, SQL, Underwriting, Machine Learning, Data Pipelines, Python, Insurance, portfolio performance, Responsible AI, Prescriptive Analytics, GLMs, InsureTech",,,,2026-09-24 14:50:08.021265
8,Scientific Coding Expert - Material science and Python,Turing,All Cities,,"GPT, LLM, NumPy, Unit Testing, AI Training, Scientific Writing, Scipy, Algorithm Design, STEM, Material Science, STEM Education, Scientific Computing, Gemini, Python, Problem Solving, Data Quality Assurance, LLM evaluation, AI Data Annotation, SymPy, Scientific Coding",,,,2026-09-24 14:50:08.021265
9,Ecommerce PPC Optimization Specialist,Magnatec Systems Private Limited,Lahore,,"Data Analysis, Campaign Management, CTR, Digital Advertising, Amazon Vendor Central, Amazon SEO, Campaign Optimization, Jungle Scout, Helium 10, Sponsored Brands, Sponsored Products, Product Listing Optimization, ACOS, Amazon PPC, A/B Testing, Data Dive, Amazon Seller Central, Keyword Research, ROAS, sponsored display",,,,2026-09-24 14:50:08.021265
10,Anti-Fraud (Risk) Officer,Device Now Private Ltd.,Lahore,,"Financial Regulations, Risk Assessment, Data Analysis, Risk Analysis, Compliance Management, Transaction Monitoring, Fraud detection and prevention, Report Writing, Attention to Detail, investigative techniques",,,,2026-09-24 14:50:08.021265
11,Neuromarketing Specialist,Veloura,All Cities,,"Data Analysis, neuroscience, Landing Page Optimization, User Experience Research, UX Research, Performance Marketing, Eye-tracking, Conversion Rate Optimization, User Testing, Cognitive Psychology, Consumer Psychology, Behavioral Science, Neuromarketing, Digital Marketing, Visual Hierarchy, A/B Testing, Heatmaps, Heatmap analysis, Biometrics, Visual Attention Analysis",,,,2026-09-24 14:50:08.021265
12,Senior Data Engineer I,Bullpen Capital,All Cities,,"Analytics, open-source, testing-and-analysis, training-and-development, insurance-consulting-and-technology, planning-and-design, visual-art-design, product-development-and-design, application-programming-interface-api, amazon-web-services, data-pipeline, data-platform, distribution-and-storage, data-analytics, app-development, application-development, data-engineering, data-storage, data-science, customer-self-service",,,,2026-09-24 14:50:08.021265
13,Anti-Fraud (Risk) Team Lead,Device Now Private Ltd.,Lahore,,"Risk Assessment, Data Analysis, Fraud Investigation, Analytical Thinking, Communication Skills, Transaction Monitoring, Fraud detection and prevention, Confidentiality Management, Interpersonal Skills, Microsoft Office Proficiency, Problem Solving, Team Leadership",,,,2026-09-24 14:50:08.021265
14,Amazon Account Manager,Ecom Managers,Jhelum,,"Data Analysis, Account Management, Customer Relationship Management, Account Planning, Cross-functional Collaboration, Jungle Scout, Helium 10, Inventory Management, eCommerce Strategy, Product Listing Optimization, Retail Analytics, A/B Testing, Amazon Seller Central, Keyword Research, sales performance analysis, Marketplace Compliance",,,,2026-09-24 14:50:08.021265
15,Supervisory Senior Advisory Services,OASIS Consulting Group,Karachi,,"Presentation Skills, Data Science, Big Data, Transaction Advisory, Customer Relationship Management (CRM), Report Writing, Management, Communication, Data Visualization, Proposal Writing, Microsoft Excel, Analytical skills, MP/M",,,,2026-09-24 14:50:08.021265
16,Management Trainee - Total Quality Management (TQM),Cybernet,Karachi,,"Analytics, SQL, Power-BI, maintenance-repair-and-operations-mro, testing-and-analysis, education-training, time-and-attendance, reporting-and-disclosure, adaptive-project-management-and-reporting, computer-science, eye-face-and-head, business-intelligence, quality-management, data-analytics, process-improvement, fashion-designers-collections, credit-and-collections, power-and-cooling, data-science, business-analytics",,,,2026-09-24 14:50:08.021265
17,Salesforce Data Management Assistant,Modeverse PRO,Lahore,,"Documentation, Databases, Data Management, Communication Training, Customer Relationship Management (CRM), Import Operations, Identifying Trends, Google Sheets, Communication, Computer Science, Microsoft Excel, Sales, Analytical skills",,,,2026-09-24 14:50:08.021265
18,📊 We’re Hiring: Data Analyst 🟠 Priority: Medium​ 📈 Talent Area: Analytics / Data Are you passionate about turning data into meaningful in,Nokhba,Lahore,,"Data Analysis, Statistical Analysis, Tableau, Analytical Thinking, Power BI, SQL, Excel, Critical Thinking, Communication, Problem Solving, Data Visualization, Attention to Detail, Business Intelligence",,,,2026-09-24 14:50:08.021265
19,"Business Development Executive, UK Market",Lost Circle,All Cities,,"Data Analysis, Customer Relationship Management, Sales Strategy, Business Networking, Client Relationship Building, Market Trend Analysis, Lead Qualification, Market Research, Lead Generation, Written Communication, CRM Software, Sales Prospecting",,,,2026-09-24 14:50:08.021265
1,🧠 We’re Hiring: Data Scientist 🟡 Priority: Later​ 📊 Talent Area: Data Science / AI​ 🎯 Focus: Specialized Analytics & Machine Learnin,Nokhba,Lahore,,"Statistics, Statistical Modeling, Data Preprocessing, Predictive Modeling, Analytics Tools, SQL, Python, Data Visualization, Data Cleaning, Model Evaluation, Machine Learning Frameworks and Libraries",,,,2026-09-24 14:50:08.021265
